accession	bac_trans_count	bac_trans_all	bac_not_trans_count	bac_not_trans_all	bac_trans_proportion	bac_not_trans_proportion	bac_trans_fold_change	arc_p_fisher	arc_p_chi2
COG3847	68744.0	455582.0	997.0	4292445.0	0.15089270427716636	0.00023226855556681566	649.647576741225	0.0	0.0
COG2261	47736.0	455582.0	3.0	4292445.0	0.10478025909715485	6.989023738219127e-07	149921.1664200956	0.0	0.0
COG0636	26441.0	455582.0	4.0	4292445.0	0.05803785048575229	9.318698317625503e-07	62281.07028207874	0.0	0.0
COG1987	24633.0	455582.0	0.0	4292445.0	0.054069300367442084	0.0	inf	0.0	0.0
COG1983	20272.0	455582.0	6.0	4292445.0	0.044496929202646286	1.3978047476438255e-06	31833.436878542172	0.0	0.0
COG4794	19919.0	455582.0	0.0	4292445.0	0.04372209613198063	0.0	inf	0.0	0.0
COG0690	16813.0	455582.0	16.0	4292445.0	0.03690444310793666	3.727479327050201e-06	9900.643268527949	0.0	0.0
COG5487	14927.0	455582.0	0.0	4292445.0	0.032764683415938294	0.0	inf	0.0	0.0
COG0762	12979.0	455582.0	186.0	4292445.0	0.028488834062803184	4.3331947176958586e-05	657.4556630575764	0.0	0.0
COG3197	12817.0	455582.0	18.0	4292445.0	0.02813324494822008	4.193414242931476e-06	6708.911478431252	0.0	0.0
COG2212	12733.0	455582.0	0.0	4292445.0	0.027948865407325135	0.0	inf	0.0	0.0
COG1314	11148.0	455582.0	6.0	4292445.0	0.024469799070200315	1.3978047476438255e-06	17505.87777831433	0.0	0.0
COG4095	10988.0	455582.0	4.0	4292445.0	0.02411859994468614	9.318698317625503e-07	25881.940934892074	0.0	0.0
COG3242	9615.0	455582.0	22.0	4292445.0	0.021104872448867603	5.125284074694026e-06	4117.795646308159	0.0	0.0
COG1862	9060.0	455582.0	2538.0	4292445.0	0.0198866504822403	0.0005912714082533381	33.6337089949724	0.0	0.0
COG3326	8424.0	455582.0	2.0	4292445.0	0.018490633958321442	4.6593491588127513e-07	39685.01464061354	0.0	0.0
COG0713	8398.0	455582.0	0.0	4292445.0	0.01843356410042539	0.0	inf	0.0	0.0
COG5510	8398.0	455582.0	26.0	4292445.0	0.01843356410042539	6.057153906456577e-06	3043.271540578864	0.0	0.0
COG1826	8126.0	455582.0	901.0	4292445.0	0.01783652558705129	0.00020990367960451445	84.97481140234224	0.0	0.0
COG4736	5985.0	455582.0	2.0	4292445.0	0.013137042288764701	4.6593491588127513e-07	28195.0157435983	0.0	0.0
COG2608	5807.0	455582.0	61905.0	4292445.0	0.012746333261630178	0.014421850483815168	0.8838209268591899	3.31485226377944e-20	1.272998996606837e-19
COG2155	4899.0	455582.0	0.0	4292445.0	0.010753278224337222	0.0	inf	0.0	0.0
COG5546	3764.0	455582.0	85.0	4292445.0	0.008261959427721025	1.9802233924954193e-05	417.2236051261644	0.0	0.0
COG4327	3728.0	455582.0	0.0	4292445.0	0.008182939624480336	0.0	inf	0.0	0.0
COG0401	3683.0	455582.0	9.0	4292445.0	0.008084164870429473	2.096707121465738e-06	3855.648119694515	0.0	0.0
COG3114	3674.0	455582.0	0.0	4292445.0	0.0080644099196193	0.0	inf	0.0	0.0
COG5454	3246.0	455582.0	1.0	4292445.0	0.0071249522588688755	2.3296745794063757e-07	30583.465698820408	0.0	0.0
COG3205	3131.0	455582.0	686.0	4292445.0	0.00687252788740556	0.00015981567614727736	43.00283960299499	0.0	0.0
COG1563	2902.0	455582.0	0.0	4292445.0	0.006369874139013394	0.0	inf	0.0	0.0
COG3630	2766.0	455582.0	1.0	4292445.0	0.006071354882326343	2.3296745794063757e-07	26060.9569078673	0.0	0.0
COG5268	2739.0	455582.0	195.0	4292445.0	0.006012090029895826	4.5428654298424326e-05	132.34136301731377	0.0	0.0
COG0759	2538.0	455582.0	8828.0	4292445.0	0.00557089612846864	0.0020566367186999482	2.7087409642234452	0.0	0.0
COG2863	2308.0	455582.0	349.0	4292445.0	0.00506604738554201	8.130564282128251e-05	62.30868128891941	0.0	0.0
COG2919	2153.0	455582.0	90.0	4292445.0	0.0047258232327001505	2.0967071214657382e-05	225.3926256231955	0.0	0.0
COG4890	2056.0	455582.0	0.0	4292445.0	0.004512908762857181	0.0	inf	0.0	0.0
COG3414	1905.0	455582.0	2868.0	4292445.0	0.004181464588153176	0.0006681506693737485	6.258265956797475	0.0	0.0
COG4575	1845.0	455582.0	654.0	4292445.0	0.004049764916085359	0.00015236071749317697	26.580111873434277	0.0	0.0
COG5477	1823.0	455582.0	0.0	4292445.0	0.004001475036327159	0.0	inf	0.0	0.0
COG3350	1766.0	455582.0	11158.0	4292445.0	0.003876360347862734	0.002599450895701634	1.491222763343041	4.2425402371216835e-50	1.2202183661074196e-55
COG1146	1743.0	455582.0	63919.0	4292445.0	0.0038258754735700706	0.014891046944107613	0.2569245458650555	0.0	0.0
COG3763	1739.0	455582.0	36.0	4292445.0	0.0038170954954322165	8.386828485862953e-06	455.1297909414039	0.0	0.0
COG1918	1555.0	455582.0	51300.0	4292445.0	0.0034132165010909124	0.011951230592354707	0.28559540163791775	0.0	0.0
COG2076	1468.0	455582.0	0.0	4292445.0	0.0032222519765925783	0.0	inf	0.0	0.0
COG4392	1403.0	455582.0	57.0	4292445.0	0.0030795773318524435	1.3279145102616342e-05	231.91081263549756	0.0	0.0
COG4980	1378.0	455582.0	57.0	4292445.0	0.0030247024684908535	1.3279145102616342e-05	227.77840328703897	0.0	0.0
COG2771	1343.0	455582.0	197421.0	4292445.0	0.0029478776597846273	0.04599266851409861	0.06409451234343977	0.0	0.0
COG4298	1332.0	455582.0	0.0	4292445.0	0.0029237327199055276	0.0	inf	0.0	0.0
COG2991	1222.0	455582.0	11.0	4292445.0	0.0026822833211145305	2.562642037347013e-06	1046.6866936637691	0.0	0.0
COG5572	1214.0	455582.0	2.0	4292445.0	0.0026647233648388214	4.6593491588127513e-07	5719.089241892787	0.0	0.0
COG3169	1129.0	455582.0	1.0	4292445.0	0.0024781488294094147	2.3296745794063757e-07	10637.317552054295	0.0	0.0
COG5567	1108.0	455582.0	2.0	4292445.0	0.002432053944185679	4.6593491588127513e-07	5219.728896225048	0.0	0.0
COG4317	992.0	455582.0	81.0	4292445.0	0.0021774345781879	1.8870364093191642e-05	115.38911318481186	0.0	0.0
COG1320	966.0	455582.0	3.0	4292445.0	0.0021203647202918466	6.989023738219127e-07	3033.8496472643783	0.0	0.0
COG1476	958.0	455582.0	166610.0	4292445.0	0.0021028047640161375	0.03881470816748962	0.05417546242888932	0.0	0.0
COG3702	939.0	455582.0	4.0	4292445.0	0.002061099867861329	9.318698317625503e-07	2211.7894555755056	0.0	0.0
