cog	bac_trans_count	bac_trans_all	bac_not_trans_count	bac_not_trans_all	bac_trans_proportion	bac_not_trans_proportion	bac_trans_fold_change	arc_p_fisher	arc_p_chi2
C	54422	455576	148919	4291647	0.11945756580680282	0.03469973182789731	3.442607752684801	0.0	0.0
U	142207	455576	19267	4291647	0.31214769873742254	0.004489418631122271	69.52964835435527	0.0	0.0
P	26065	455576	192744	4291647	0.057213286037894884	0.04491142910868485	1.273913726936628	2.0904180932516195e-291	3.6154300280687e-310
O	27991	455576	233633	4291647	0.0614409011888247	0.05443900674962316	1.1286190703552836	9.155809489516402e-84	2.7281092529833435e-86
Q	415	455576	75673	4291647	0.0009109347287829035	0.017632624491250096	0.05166189124227877	0.0	0.0
S	82003	455576	418083	4291647	0.17999850738405887	0.09741784447788926	1.847695443773782	0.0	0.0
G	14146	455576	38494	4291647	0.03105080162256133	0.008969516831183926	3.4618142991390983	0.0	0.0
R	54474	455576	255599	4291647	0.11957170702583103	0.05955732146656051	2.0076743560901518	0.0	0.0
N	24805	455576	16845	4291647	0.05444755649990342	0.003925066530401964	13.871753785107808	0.0	0.0
K	24379	455576	800190	4291647	0.05351247651324916	0.18645289325986036	0.28700266098133725	0.0	0.0
V	3958	455576	419862	4291647	0.008687902786801763	0.09783237064931016	0.08880396875942435	0.0	0.0
T	23085	455576	137262	4291647	0.050672116178200784	0.03198352520605725	1.5843192972550806	0.0	0.0
J	6198	455576	989400	4291647	0.01360475529878659	0.2305408622843398	0.059012338047070526	0.0	0.0
W	68750	455576	1091	4291647	0.1509078616959629	0.00025421475717830476	593.6235306360165	0.0	0.0
D	3218	455576	21994	4291647	0.00706358543909249	0.005124839018679775	1.3783038673695083	2.632645090738767e-60	1.298198763110078e-65
M	3116	455576	28013	4291647	0.006839693047921752	0.006527330882525986	1.0478545014826774	0.013463243869462975	0.01335970299701403
F	2778	455576	98496	4291647	0.006097775124238327	0.02295062944366114	0.2656909754569936	0.0	0.0
E	2455	455576	32146	4291647	0.005388782552197657	0.007490364421864147	0.7194286217193872	1.9321507146586353e-61	1.4875153262979622e-56
H	2147	455576	210677	4291647	0.004712715331799743	0.04909001136393557	0.09600151234151033	0.0	0.0
X	1245	455576	117502	4291647	0.00273280418634871	0.02737923226211289	0.09981303201588809	0.0	0.0
L	912	455576	181971	4291647	0.0020018613798795373	0.04240120401328441	0.04721237112163958	0.0	0.0
I	213	455576	161987	4291647	0.0004675399933271287	0.03774471665540059	0.012386899008824117	0.0	0.0
B	1	455576	418	4291647	2.1950234428503697e-06	9.739850458343847e-05	0.022536520989087226	3.154602672347161e-17	1.3563114133045067e-10
